,Unnamed: 0,Season,1stA,2ndA,2HA,3rdA,4thA,CloseA,DateA,FinalA,MLA,OpenA,TeamA,VHA,1stB,2ndB,2HB,3rdB,4thB,CloseB,FinalB,MLB,OpenB,TeamB,ActualTotal,OpeningTotal,ClosingTotal,ProjDiffOpen,ProjDiffClose,ActualDiff,Date
36,36,2008,28.0,22,96.5,23,20,193.0,1104,93,355,192.5,Minnesota,V,21,33,4.0,21,22,9.0,97,-425,10.0,NewYork,190,192.5,193.0,-10.0,-9.0,-4,11-04-2007
37,37,2008,27.0,28,93.5,20,15,186.5,1104,90,140,186.0,Charlotte,V,27,21,3.5,15,25,3.5,88,-160,3.0,Miami,178,186.0,186.5,-3.0,-3.5,2,11-04-2007
38,38,2008,19.0,29,97.0,21,22,191.0,1104,91,290,188.5,Atlanta,V,24,21,6.5,15,32,8.0,92,-350,8.5,Detroit,183,188.5,191.0,-8.5,-8.0,-1,11-04-2007
39,39,2008,14.0,34,104.5,25,20,214.5,1104,93,185,216.0,NewOrleans,V,21,28,3.0,20,19,5.0,88,-215,6.5,Denver,181,216.0,214.5,-6.5,-5.0,5,11-04-2007
40,40,2008,22.0,23,99.5,19,28,205.0,1104,92,290,208.5,Cleveland,V,21,17,5.5,31,34,7.5,103,-350,8.0,Phoenix,195,208.5,205.0,-8.0,-7.5,-11,11-04-2007
41,41,2008,21.0,30,106.0,31,27,205.5,1104,109,-105,2.0,Utah,V,25,21,2.0,35,38,1.0,119,-115,202.0,LALakers,228,202.0,205.5,2.0,-1.0,-10,11-04-2007
42,42,2008,29.0,22,95.5,24,23,189.5,1105,98,170,190.0,Houston,V,24,26,3.0,27,30,4.5,107,-200,5.0,Dallas,205,190.0,189.5,-5.0,-4.5,-9,11-05-2007
43,43,2008,29.0,30,101.0,29,27,4.0,1106,115,-195,4.0,Phoenix,V,21,16,3.5,24,22,207.0,83,165,210.0,Charlotte,198,210.0,207.0,4.0,4.0,32,11-06-2007
44,44,2008,19.0,22,95.0,16,25,188.5,1106,82,160,190.5,Atlanta,V,22,23,1.0,24,18,4.0,87,-190,4.5,NewJersey,169,190.5,188.5,-4.5,-4.0,-5,11-06-2007
45,45,2008,37.0,29,105.0,26,20,3.0,1106,112,-160,2.5,Denver,V,32,28,0.0,22,37,211.0,119,140,213.0,NewYork,231,213.0,211.0,2.5,3.0,-7,11-06-2007
46,46,2008,26.0,30,2.0,32,23,6.5,1106,111,-300,7.0,Orlando,V,22,28,93.5,24,29,186.5,103,250,190.0,Minnesota,214,190.0,186.5,7.0,6.5,8,11-06-2007
47,47,2008,23.0,25,5.0,16,21,3.0,1106,85,-160,191.0,Toronto,V,37,26,95.0,25,24,190.0,112,140,0.0,Milwaukee,197,191.0,190.0,-0.0,3.0,-27,11-06-2007
48,48,2008,19.0,13,4.0,24,25,2.0,1106,81,-135,185.0,SanAntonio,V,18,27,91.5,19,25,183.5,89,115,0.0,Houston,170,185.0,183.5,-0.0,2.0,-8,11-06-2007
49,49,2008,26.0,31,97.5,18,22,193.0,1106,97,335,193.0,LAClippers,V,26,26,8.0,22,17,8.5,91,-405,7.0,Chicago,188,193.0,193.0,-7.0,-8.5,6,11-06-2007
50,50,2008,25.0,36,101.5,17,20,208.0,1106,98,110,204.0,Seattle,V,26,22,4.5,24,32,2.0,104,-130,3.0,Sacramento,202,204.0,208.0,-3.0,-2.0,-6,11-06-2007
51,51,2008,29.0,25,105.0,26,28,209.5,1106,108,115,1.0,Cleveland,V,23,31,1.5,27,23,2.0,104,-135,209.0,GoldenState,212,209.0,209.5,1.0,-2.0,4,11-06-2007
52,52,2008,32.0,25,104.0,32,29,205.5,1106,118,135,207.0,NewOrleans,V,22,33,3.0,25,24,3.0,104,-155,3.5,LALakers,222,207.0,205.5,-3.5,-3.0,14,11-06-2007
53,53,2008,31.0,21,95.5,26,27,191.5,1107,105,170,186.5,Orlando,V,23,24,3.5,27,22,4.0,96,-200,3.0,Toronto,201,186.5,191.5,-3.0,-4.0,9,11-07-2007
54,54,2008,27.0,20,5.0,29,20,5.0,1107,96,-230,5.5,Phoenix,V,32,23,103.5,25,25,207.0,105,190,208.5,Atlanta,201,208.5,207.0,5.5,5.0,-9,11-07-2007
55,55,2008,24.0,31,102.0,32,17,207.5,1107,104,240,200.5,LAClippers,V,25,33,3.5,14,17,6.5,89,-290,5.0,Indiana,193,200.5,207.5,-5.0,-6.5,15,11-07-2007
56,56,2008,14.0,18,3.0,15,16,189.0,1107,63,165,190.0,Charlotte,V,23,26,93.5,21,24,4.0,94,-195,3.5,Philadelphia,157,190.0,189.0,-3.5,-4.0,-31,11-07-2007
57,57,2008,22.0,16,5.5,28,27,202.5,1107,93,245,203.0,Denver,V,38,39,99.5,26,16,6.5,119,-295,5.5,Boston,212,203.0,202.5,-5.5,-6.5,-26,11-07-2007
58,58,2008,21.0,17,88.5,20,20,180.5,1107,78,800,185.5,Miami,V,23,16,7.5,26,23,11.5,88,-1200,10.5,SanAntonio,166,185.5,180.5,-10.5,-11.5,-10,11-07-2007
59,59,2008,26.0,22,98.0,19,34,194.5,1107,101,400,196.0,Cleveland,V,29,23,4.5,20,31,9.0,103,-500,8.0,Utah,204,196.0,194.5,-8.0,-9.0,-2,11-07-2007
60,60,2008,27.0,22,2.0,38,18,218.5,1107,105,-110,219.5,Memphis,V,24,33,107.0,24,17,0.0,98,-110,1.5,Seattle,203,219.5,218.5,-1.5,-0.0,7,11-07-2007
61,61,2008,23.0,26,100.5,18,23,2.5,1107,90,-145,2.5,NewOrleans,V,26,18,0.0,32,17,201.5,93,125,202.0,Portland,183,202.0,201.5,2.5,2.5,-3,11-07-2007
62,62,2008,27.0,14,98.0,17,27,190.0,1108,85,235,194.0,Washington,V,15,21,6.0,21,30,6.0,87,-275,6.0,NewJersey,172,194.0,190.0,-6.0,-6.0,-2,11-08-2007
63,63,2008,23.0,22,1.5,30,18,182.0,1108,93,100,184.0,Detroit,V,29,22,90.0,27,19,1.0,97,-120,1.5,Chicago,190,184.0,182.0,-1.5,-1.0,-4,11-08-2007
64,64,2008,27.0,30,6.5,34,29,7.5,1108,120,-325,7.5,Dallas,V,27,34,108.5,25,29,216.0,115,275,213.5,GoldenState,235,213.5,216.0,7.5,7.5,5,11-08-2007
65,65,2008,24.0,23,94.5,24,34,2.0,1109,105,-130,188.0,Toronto,V,19,20,1.5,29,35,187.5,103,110,1.0,Philadelphia,208,188.0,187.5,-1.0,2.0,2,11-09-2007
66,66,2008,27.0,16,97.0,30,14,195.0,1109,87,105,194.5,Indiana,V,24,16,1.5,25,31,1.5,96,-125,3.0,Charlotte,183,194.5,195.0,-3.0,-1.5,-9,11-09-2007
67,67,2008,19.0,22,97.5,20,22,193.0,1109,83,360,194.0,Atlanta,V,24,31,0.0,19,32,8.5,106,-430,7.0,Boston,189,194.0,193.0,-7.0,-8.5,-23,11-09-2007
68,68,2008,28.0,20,99.5,29,35,201.5,1109,112,-105,1.0,Orlando,V,28,21,0.0,24,29,1.0,102,-115,198.5,NewYork,214,198.5,201.5,1.0,-1.0,10,11-09-2007
69,69,2008,27.0,28,7.0,24,27,8.0,1109,106,-375,8.5,Phoenix,V,37,23,97.5,24,17,195.5,101,315,201.0,Miami,207,201.0,195.5,8.5,8.0,5,11-09-2007
70,70,2008,21.0,21,94.0,14,23,191.5,1109,79,315,192.0,LAClippers,V,31,28,0.0,24,20,8.0,103,-375,7.5,Detroit,182,192.0,191.5,-7.5,-8.0,-24,11-09-2007
71,71,2008,23.0,29,94.0,29,16,3.5,1109,97,-165,3.5,SanAntonio,V,24,21,1.0,18,22,186.0,85,145,188.0,NewOrleans,182,188.0,186.0,3.5,3.5,12,11-09-2007
72,72,2008,28.0,32,106.5,33,25,2.0,1109,118,-130,3.0,Denver,V,26,25,1.5,11,30,209.5,92,110,210.5,Washington,210,210.5,209.5,3.0,2.0,26,11-09-2007
73,73,2008,25.0,16,94.0,29,18,188.5,1109,88,395,191.0,Milwaukee,V,24,26,2.5,28,26,9.0,104,-475,9.5,Houston,192,191.0,188.5,-9.5,-9.0,-16,11-09-2007
74,74,2008,26.0,35,104.5,15,22,208.5,1109,98,120,208.0,Memphis,V,23,26,4.0,25,36,2.5,110,-140,1.0,Portland,208,208.0,208.5,-1.0,-2.5,-12,11-09-2007
75,75,2008,28.0,24,1.5,26,25,6.5,1109,103,-290,7.0,Utah,V,25,21,106.0,29,26,211.5,101,240,210.5,Seattle,204,210.5,211.5,7.0,6.5,2,11-09-2007
76,76,2008,28.0,22,103.0,19,24,204.0,1109,93,600,201.0,Minnesota,V,30,26,5.5,27,24,11.0,107,-800,11.0,LALakers,200,201.0,204.0,-11.0,-11.0,-14,11-09-2007
77,77,2008,23.0,25,3.0,21,24,5.5,1109,93,-245,6.5,Cleveland,V,21,27,97.0,22,21,192.5,91,205,194.5,Sacramento,184,194.5,192.5,6.5,5.5,2,11-09-2007
78,78,2008,31.0,25,4.0,26,31,1.5,1110,113,-125,210.5,Denver,V,46,28,103.0,14,18,212.0,106,105,0.0,Indiana,219,210.5,212.0,-0.0,1.5,7,11-10-2007
79,79,2008,34.0,25,102.5,26,21,1.5,1110,106,-125,205.5,Phoenix,V,27,16,4.0,23,30,209.0,96,105,0.0,Orlando,202,205.5,209.0,-0.0,1.5,10,11-10-2007
80,80,2008,26.0,33,95.0,28,25,3.0,1110,112,-150,186.0,Boston,V,27,25,0.0,14,35,182.5,101,130,2.0,NewJersey,213,186.0,182.5,-2.0,3.0,11,11-10-2007
81,81,2008,17.0,24,93.0,36,24,189.5,1110,101,220,191.0,Toronto,V,13,17,6.0,13,28,6.5,71,-260,5.5,Chicago,172,191.0,189.5,-5.5,-6.5,30,11-10-2007
82,82,2008,30.0,19,107.5,22,23,216.0,1110,94,475,219.0,Memphis,V,36,28,2.0,25,29,10.0,118,-600,11.0,Utah,212,219.0,216.0,-11.0,-10.0,-24,11-10-2007
83,83,2008,19.0,20,93.5,34,20,193.0,1110,93,170,193.5,Minnesota,V,16,26,2.0,31,27,4.5,100,-200,4.5,Sacramento,193,193.5,193.0,-4.5,-4.5,-7,11-10-2007
84,84,2008,22.0,18,8.0,17,25,7.5,1110,82,-350,8.0,Dallas,V,28,21,100.0,21,21,201.5,91,290,202.5,Portland,173,202.5,201.5,8.0,7.5,-9,11-10-2007
85,85,2008,26.0,25,100.0,27,23,192.5,1111,101,190,195.5,Washington,V,23,17,5.0,25,25,5.5,90,-230,5.0,Atlanta,191,195.5,192.5,-5.0,-5.5,11,11-11-2007
86,86,2008,14.0,21,6.0,25,25,6.5,1111,85,-275,5.5,Houston,V,15,25,94.5,25,17,186.0,82,235,187.5,Charlotte,167,187.5,186.0,5.5,6.5,3,11-11-2007
87,87,2008,23.0,28,95.0,26,16,3.0,1111,93,-150,2.0,NewOrleans,V,24,13,2.5,17,18,190.5,72,130,192.5,Philadelphia,165,192.5,190.5,2.0,3.0,21,11-11-2007
88,88,2008,25.0,12,93.5,15,23,192.0,1111,75,130,196.0,Miami,V,20,19,1.0,19,14,3.0,72,-150,4.0,NewYork,147,196.0,192.0,-4.0,-3.0,3,11-11-2007
89,89,2008,24.0,14,1.5,23,27,186.5,1111,88,550,185.0,Milwaukee,V,36,29,93.5,26,22,10.5,113,-700,10.5,SanAntonio,201,185.0,186.5,-10.5,-10.5,-25,11-11-2007
90,90,2008,35.0,29,96.0,17,26,6.5,1111,107,-275,6.5,Detroit,V,20,32,1.0,21,30,196.0,103,235,199.0,Seattle,210,199.0,196.0,6.5,6.5,4,11-11-2007
91,91,2008,23.0,27,95.0,22,31,1.0,1111,103,-110,196.0,Cleveland,V,19,25,1.5,31,20,192.0,95,-110,0.0,LAClippers,198,196.0,192.0,-0.0,1.0,8,11-11-2007
92,92,2008,26.0,23,92.5,16,19,2.0,1112,84,-130,189.0,NewOrleans,V,21,16,3.0,30,15,184.5,82,110,2.0,NewJersey,166,189.0,184.5,-2.0,2.0,2,11-12-2007
93,93,2008,18.0,25,0.0,25,32,208.0,1112,100,285,205.5,Cleveland,V,21,37,101.5,30,34,7.5,122,-335,6.5,Denver,222,205.5,208.0,-6.5,-7.5,-22,11-12-2007
94,94,2008,18.0,24,101.0,34,17,206.0,1112,93,1050,204.5,Sacramento,V,35,30,1.5,24,28,14.0,117,-1700,13.5,Utah,210,204.5,206.0,-13.5,-14.0,-24,11-12-2007
95,95,2008,14.0,22,99.5,20,20,209.0,1113,76,525,209.5,Seattle,V,28,21,3.0,36,18,10.5,103,-650,10.5,Orlando,179,209.5,209.0,-10.5,-10.5,-27,11-13-2007
96,96,2008,12.0,23,0.0,12,29,178.0,1113,76,105,181.0,Miami,V,17,23,88.5,31,20,1.5,91,-125,2.0,Charlotte,167,181.0,178.0,-2.0,-1.5,-15,11-13-2007
97,97,2008,26.0,26,1.5,24,25,7.0,1113,101,-300,6.0,Boston,V,24,19,97.5,22,21,198.0,86,250,197.5,Indiana,187,197.5,198.0,6.0,7.0,15,11-13-2007
98,98,2008,28.0,25,2.5,26,20,6.5,1113,99,-270,6.5,Houston,V,25,24,101.0,31,25,201.5,105,230,198.5,Memphis,204,198.5,201.5,6.5,6.5,-6,11-13-2007
99,99,2008,22.0,28,96.5,18,16,192.5,1113,84,600,190.5,Philadelphia,V,19,24,10.5,33,23,11.0,99,-800,12.0,Dallas,183,190.5,192.5,-12.0,-11.0,-15,11-13-2007
100,100,2008,15.0,23,1.0,24,30,199.0,1113,92,305,198.5,LALakers,V,21,33,98.0,25,28,8.0,107,-365,8.5,SanAntonio,199,198.5,199.0,-8.5,-8.0,-15,11-13-2007
101,101,2008,29.0,22,103.0,21,30,210.5,1113,102,900,207.0,NewYork,V,34,29,4.5,24,26,13.0,113,-1400,11.0,Phoenix,215,207.0,210.5,-11.0,-13.0,-11,11-13-2007
102,102,2008,27.0,26,2.5,21,20,5.0,1113,94,-230,4.5,Detroit,V,22,28,94.5,24,28,190.0,102,190,189.0,Portland,196,189.0,190.0,4.5,5.0,-8,11-13-2007
103,103,2008,15.0,26,2.0,25,24,200.5,1114,90,200,201.5,Indiana,V,28,28,99.0,27,20,5.5,103,-240,6.0,Washington,193,201.5,200.5,-6.0,-5.5,-13,11-14-2007
104,104,2008,28.0,27,96.5,26,27,190.5,1114,117,130,194.5,Orlando,V,29,27,2.0,23,29,3.0,116,-150,4.5,Cleveland,233,194.5,190.5,-4.5,-3.0,1,11-14-2007
105,105,2008,18.0,21,104.5,25,28,204.0,1114,92,-110,203.0,Utah,V,22,14,0.0,23,29,0.0,88,-110,1.0,Toronto,180,203.0,204.0,-1.0,-0.0,4,11-14-2007
106,106,2008,22.0,26,1.5,26,35,188.0,1114,109,200,187.5,Charlotte,V,37,26,93.5,18,36,5.5,117,-240,5.0,Atlanta,226,187.5,188.0,-5.0,-5.5,-8,11-14-2007
107,107,2008,30.0,31,92.5,19,24,191.5,1114,104,240,193.5,Seattle,V,25,16,7.0,27,27,7.0,95,-290,6.0,Miami,199,193.5,191.5,-6.0,-7.0,9,11-14-2007
108,108,2008,23.0,11,93.5,20,15,181.0,1114,69,525,184.5,NewJersey,V,17,19,6.0,26,29,10.0,91,-650,9.5,Boston,160,184.5,181.0,-9.5,-10.0,-22,11-14-2007
109,109,2008,21.0,27,96.0,21,34,190.5,1114,103,110,194.0,Sacramento,V,21,24,1.5,26,37,2.0,108,-130,3.0,Minnesota,211,194.0,190.5,-3.0,-2.0,-5,11-14-2007
110,110,2008,18.0,23,101.0,30,28,206.5,1114,99,220,205.0,Memphis,V,22,25,2.0,31,24,6.5,102,-260,6.0,Milwaukee,201,205.0,206.5,-6.0,-6.5,-3,11-14-2007
111,111,2008,20.0,23,93.0,22,11,187.5,1114,76,370,187.5,Philadelphia,V,26,17,5.5,30,22,8.5,95,-450,8.5,NewOrleans,171,187.5,187.5,-8.5,-8.5,-19,11-14-2007
112,112,2008,20.0,18,105.0,23,32,212.0,1114,93,550,211.5,Portland,V,25,27,2.5,26,32,11.0,110,-700,10.0,Denver,203,211.5,212.0,-10.0,-11.0,-17,11-14-2007
113,113,2008,25.0,36,100.5,14,18,199.5,1114,93,240,199.0,LALakers,V,22,27,6.0,22,19,6.5,90,-290,7.5,Houston,183,199.0,199.5,-7.5,-6.5,3,11-14-2007
114,114,2008,17.0,27,99.0,9,28,200.5,1114,81,275,200.0,NewYork,V,18,23,5.5,22,21,7.5,84,-325,7.0,LAClippers,165,200.0,200.5,-7.0,-7.5,-3,11-14-2007
115,115,2008,25.0,26,3.5,31,29,1.0,1114,111,-120,3.0,Detroit,V,40,24,100.5,21,19,211.0,104,100,207.0,GoldenState,215,207.0,211.0,3.0,1.0,7,11-14-2007
116,116,2008,18.0,22,5.0,30,22,189.5,1115,92,105,186.5,SanAntonio,V,33,26,94.0,21,25,1.5,105,-125,3.0,Dallas,197,186.5,189.5,-3.0,-1.5,-13,11-15-2007
117,117,2008,22.0,24,102.0,29,27,204.0,1115,102,355,203.0,Chicago,V,26,30,1.5,19,37,8.5,112,-425,7.5,Phoenix,214,203.0,204.0,-7.5,-8.5,-10,11-15-2007
118,118,2008,21.0,24,93.0,28,15,184.0,1116,88,130,186.0,Portland,V,14,13,5.0,29,36,3.0,92,-150,3.0,Philadelphia,180,186.0,184.0,-3.0,-3.0,-4,11-16-2007
119,119,2008,30.0,26,98.5,18,27,195.5,1116,101,285,193.5,Indiana,V,22,31,5.5,28,29,7.5,110,-335,8.5,Toronto,211,193.5,195.5,-8.5,-7.5,-9,11-16-2007
120,120,2008,24.0,22,93.0,19,26,183.0,1116,91,525,184.0,Miami,V,24,28,4.5,24,16,10.0,92,-650,10.5,Boston,183,184.0,183.0,-10.5,-10.0,-1,11-16-2007
121,121,2008,25.0,20,94.0,24,26,3.5,1116,95,-170,3.5,Orlando,V,10,22,2.0,27,11,186.0,70,150,184.0,NewJersey,165,184.0,186.0,3.5,3.5,25,11-16-2007
122,122,2008,24.0,19,103.0,31,20,199.5,1116,94,105,2.0,Utah,V,19,20,1.0,29,31,1.5,99,-125,203.0,Cleveland,193,203.0,199.5,2.0,-1.5,-5,11-16-2007
123,123,2008,26.0,32,100.5,26,23,204.5,1116,126,235,206.0,Seattle,V,23,22,5.5,37,25,6.0,123,-275,7.5,Atlanta,249,206.0,204.5,-7.5,-6.0,3,11-16-2007
124,124,2008,24.0,22,90.0,18,20,177.5,1116,84,400,181.0,Houston,V,25,24,5.0,20,21,9.0,90,-500,8.5,SanAntonio,174,181.0,177.5,-8.5,-9.0,-6,11-16-2007
125,125,2008,32.0,30,0.0,19,33,3.0,1116,120,-160,3.5,NewOrleans,V,20,38,99.5,26,30,204.5,118,140,202.0,Memphis,238,202.0,204.5,3.5,3.0,2,11-16-2007
126,126,2008,32.0,15,5.0,24,34,3.5,1116,105,-170,2.5,Washington,V,24,27,99.5,23,15,191.5,89,150,194.5,Minnesota,194,194.5,191.5,2.5,3.5,16,11-16-2007
127,127,2008,31.0,16,1.0,26,24,198.5,1116,115,150,199.0,NewYork,V,28,29,98.5,25,15,3.5,119,-170,3.0,Sacramento,234,199.0,198.5,-3.0,-3.5,-4,11-16-2007
128,128,2008,20.0,26,98.0,22,23,198.5,1116,91,155,201.0,Detroit,V,29,19,2.0,14,41,4.0,103,-175,3.5,LALakers,194,201.0,198.5,-3.5,-4.0,-12,11-16-2007
129,129,2008,26.0,29,0.0,32,18,219.5,1116,105,210,216.0,LAClippers,V,34,30,106.0,32,26,5.5,122,-250,3.5,GoldenState,227,216.0,219.5,-3.5,-5.5,-17,11-16-2007
130,130,2008,15.0,23,1.0,25,27,190.0,1117,90,175,195.0,Portland,V,22,25,97.5,30,32,4.5,109,-205,5.5,Washington,199,195.0,190.0,-5.5,-4.5,-19,11-17-2007
131,131,2008,22.0,27,99.0,21,14,199.5,1117,84,300,196.5,Seattle,V,22,25,6.0,30,23,8.0,100,-360,7.5,Charlotte,184,196.5,199.5,-7.5,-8.0,-16,11-17-2007
132,132,2008,17.0,29,6.0,26,25,5.0,1117,97,-230,6.0,Utah,V,31,34,107.0,30,22,204.5,117,190,203.0,Indiana,214,203.0,204.5,6.0,5.0,-20,11-17-2007
