,Season,1stA,2ndA,2HA,3rdA,4thA,CloseA,DateA,FinalA,MLA,OpenA,TeamA,VHA,1stB,2ndB,2HB,3rdB,4thB,CloseB,FinalB,MLB,OpenB,TeamB,ActualTotal,OpeningTotal,ClosingTotal,ProjDiffOpen,ProjDiffClose,ActualDiff,Date
59,2008,26.0,22,98,19,34,194.5,1107,101,400,196,Cleveland,V,29,23,4.5,20,31,9,103,-500,8,Utah,204,8.0,9.0,,,-2,11-07-2007
60,2008,27.0,22,2,38,18,218.5,1107,105,-110,219.5,Memphis,V,24,33,107,24,17,0,98,-110,1.5,Seattle,203,219.5,218.5,,,7,11-07-2007
61,2008,23.0,26,100.5,18,23,2.5,1107,90,-145,2.5,NewOrleans,V,26,18,0,32,17,201.5,93,125,202,Portland,183,202.0,201.5,,,-3,11-07-2007
62,2008,27.0,14,98,17,27,190,1108,85,235,194,Washington,V,15,21,6,21,30,6,87,-275,6,NewJersey,172,6.0,6.0,,,-2,11-08-2007
63,2008,23.0,22,1.5,30,18,182,1108,93,100,184,Detroit,V,29,22,90,27,19,1,97,-120,1.5,Chicago,190,184.0,182.0,,,-4,11-08-2007
64,2008,27.0,30,6.5,34,29,7.5,1108,120,-325,7.5,Dallas,V,27,34,108.5,25,29,216,115,275,213.5,GoldenState,235,7.5,7.5,,,5,11-08-2007
65,2008,24.0,23,94.5,24,34,2,1109,105,-130,188,Toronto,V,19,20,1.5,29,35,187.5,103,110,1,Philadelphia,208,188.0,2.0,,,2,11-09-2007
66,2008,27.0,16,97,30,14,195,1109,87,105,194.5,Indiana,V,24,16,1.5,25,31,1.5,96,-125,3,Charlotte,183,3.0,195.0,,,-9,11-09-2007
67,2008,19.0,22,97.5,20,22,193,1109,83,360,194,Atlanta,V,24,31,0,19,32,8.5,106,-430,7,Boston,189,7.0,8.5,,,-23,11-09-2007
68,2008,28.0,20,99.5,29,35,201.5,1109,112,-105,1,Orlando,V,28,21,0,24,29,1,102,-115,198.5,NewYork,214,198.5,201.5,,,10,11-09-2007
69,2008,27.0,28,7,24,27,8,1109,106,-375,8.5,Phoenix,V,37,23,97.5,24,17,195.5,101,315,201,Miami,207,8.5,8.0,,,5,11-09-2007
70,2008,21.0,21,94,14,23,191.5,1109,79,315,192,LAClippers,V,31,28,0,24,20,8,103,-375,7.5,Detroit,182,7.5,8.0,,,-24,11-09-2007
71,2008,23.0,29,94,29,16,3.5,1109,97,-165,3.5,SanAntonio,V,24,21,1,18,22,186,85,145,188,NewOrleans,182,3.5,3.5,,,12,11-09-2007
72,2008,28.0,32,106.5,33,25,2,1109,118,-130,3,Denver,V,26,25,1.5,11,30,209.5,92,110,210.5,Washington,210,3.0,209.5,,,26,11-09-2007
73,2008,25.0,16,94,29,18,188.5,1109,88,395,191,Milwaukee,V,24,26,2.5,28,26,9,104,-475,9.5,Houston,192,9.5,9.0,,,-16,11-09-2007
74,2008,26.0,35,104.5,15,22,208.5,1109,98,120,208,Memphis,V,23,26,4,25,36,2.5,110,-140,1,Portland,208,208.0,208.5,,,-12,11-09-2007
75,2008,28.0,24,1.5,26,25,6.5,1109,103,-290,7,Utah,V,25,21,106,29,26,211.5,101,240,210.5,Seattle,204,7.0,6.5,,,2,11-09-2007
76,2008,28.0,22,103,19,24,204,1109,93,600,201,Minnesota,V,30,26,5.5,27,24,11,107,-800,11,LALakers,200,201.0,204.0,,,-14,11-09-2007
77,2008,23.0,25,3,21,24,5.5,1109,93,-245,6.5,Cleveland,V,21,27,97,22,21,192.5,91,205,194.5,Sacramento,184,6.5,5.5,,,2,11-09-2007
78,2008,31.0,25,4,26,31,1.5,1110,113,-125,210.5,Denver,V,46,28,103,14,18,212,106,105,0,Indiana,219,210.5,212.0,,,7,11-10-2007
79,2008,34.0,25,102.5,26,21,1.5,1110,106,-125,205.5,Phoenix,V,27,16,4,23,30,209,96,105,0,Orlando,202,205.5,209.0,,,10,11-10-2007
80,2008,26.0,33,95,28,25,3,1110,112,-150,186,Boston,V,27,25,0,14,35,182.5,101,130,2,NewJersey,213,2.0,3.0,,,11,11-10-2007
81,2008,17.0,24,93,36,24,189.5,1110,101,220,191,Toronto,V,13,17,6,13,28,6.5,71,-260,5.5,Chicago,172,5.5,6.5,,,30,11-10-2007
82,2008,30.0,19,107.5,22,23,216,1110,94,475,219,Memphis,V,36,28,2,25,29,10,118,-600,11,Utah,212,219.0,216.0,,,-24,11-10-2007
83,2008,19.0,20,93.5,34,20,193,1110,93,170,193.5,Minnesota,V,16,26,2,31,27,4.5,100,-200,4.5,Sacramento,193,4.5,4.5,,,-7,11-10-2007
84,2008,22.0,18,8,17,25,7.5,1110,82,-350,8,Dallas,V,28,21,100,21,21,201.5,91,290,202.5,Portland,173,8.0,7.5,,,-9,11-10-2007
85,2008,26.0,25,100,27,23,192.5,1111,101,190,195.5,Washington,V,23,17,5,25,25,5.5,90,-230,5,Atlanta,191,5.0,5.5,,,11,11-11-2007
86,2008,14.0,21,6,25,25,6.5,1111,85,-275,5.5,Houston,V,15,25,94.5,25,17,186,82,235,187.5,Charlotte,167,5.5,6.5,,,3,11-11-2007
87,2008,23.0,28,95,26,16,3,1111,93,-150,2,NewOrleans,V,24,13,2.5,17,18,190.5,72,130,192.5,Philadelphia,165,2.0,3.0,,,21,11-11-2007
88,2008,25.0,12,93.5,15,23,192,1111,75,130,196,Miami,V,20,19,1,19,14,3,72,-150,4,NewYork,147,4.0,3.0,,,3,11-11-2007
89,2008,24.0,14,1.5,23,27,186.5,1111,88,550,185,Milwaukee,V,36,29,93.5,26,22,10.5,113,-700,10.5,SanAntonio,201,185.0,186.5,,,-25,11-11-2007
90,2008,35.0,29,96,17,26,6.5,1111,107,-275,6.5,Detroit,V,20,32,1,21,30,196,103,235,199,Seattle,210,6.5,6.5,,,4,11-11-2007
91,2008,23.0,27,95,22,31,1,1111,103,-110,196,Cleveland,V,19,25,1.5,31,20,192,95,-110,0,LAClippers,198,196.0,192.0,,,8,11-11-2007
92,2008,26.0,23,92.5,16,19,2,1112,84,-130,189,NewOrleans,V,21,16,3,30,15,184.5,82,110,2,NewJersey,166,2.0,2.0,,,2,11-12-2007
93,2008,18.0,25,0,25,32,208,1112,100,285,205.5,Cleveland,V,21,37,101.5,30,34,7.5,122,-335,6.5,Denver,222,6.5,7.5,,,-22,11-12-2007
94,2008,18.0,24,101,34,17,206,1112,93,1050,204.5,Sacramento,V,35,30,1.5,24,28,14,117,-1700,13.5,Utah,210,204.5,206.0,,,-24,11-12-2007
95,2008,14.0,22,99.5,20,20,209,1113,76,525,209.5,Seattle,V,28,21,3,36,18,10.5,103,-650,10.5,Orlando,179,209.5,209.0,,,-27,11-13-2007
96,2008,12.0,23,0,12,29,178,1113,76,105,181,Miami,V,17,23,88.5,31,20,1.5,91,-125,2,Charlotte,167,2.0,178.0,,,-15,11-13-2007
97,2008,26.0,26,1.5,24,25,7,1113,101,-300,6,Boston,V,24,19,97.5,22,21,198,86,250,197.5,Indiana,187,6.0,7.0,,,15,11-13-2007
98,2008,28.0,25,2.5,26,20,6.5,1113,99,-270,6.5,Houston,V,25,24,101,31,25,201.5,105,230,198.5,Memphis,204,6.5,6.5,,,-6,11-13-2007
99,2008,22.0,28,96.5,18,16,192.5,1113,84,600,190.5,Philadelphia,V,19,24,10.5,33,23,11,99,-800,12,Dallas,183,190.5,192.5,,,-15,11-13-2007
100,2008,15.0,23,1,24,30,199,1113,92,305,198.5,LALakers,V,21,33,98,25,28,8,107,-365,8.5,SanAntonio,199,8.5,8.0,,,-15,11-13-2007
101,2008,29.0,22,103,21,30,210.5,1113,102,900,207,NewYork,V,34,29,4.5,24,26,13,113,-1400,11,Phoenix,215,207.0,210.5,,,-11,11-13-2007
102,2008,27.0,26,2.5,21,20,5,1113,94,-230,4.5,Detroit,V,22,28,94.5,24,28,190,102,190,189,Portland,196,4.5,5.0,,,-8,11-13-2007
103,2008,15.0,26,2,25,24,200.5,1114,90,200,201.5,Indiana,V,28,28,99,27,20,5.5,103,-240,6,Washington,193,6.0,5.5,,,-13,11-14-2007
104,2008,28.0,27,96.5,26,27,190.5,1114,117,130,194.5,Orlando,V,29,27,2,23,29,3,116,-150,4.5,Cleveland,233,4.5,3.0,,,1,11-14-2007
105,2008,18.0,21,104.5,25,28,204,1114,92,-110,203,Utah,V,22,14,0,23,29,0,88,-110,1,Toronto,180,203.0,204.0,,,4,11-14-2007
106,2008,22.0,26,1.5,26,35,188,1114,109,200,187.5,Charlotte,V,37,26,93.5,18,36,5.5,117,-240,5,Atlanta,226,5.0,5.5,,,-8,11-14-2007
107,2008,30.0,31,92.5,19,24,191.5,1114,104,240,193.5,Seattle,V,25,16,7,27,27,7,95,-290,6,Miami,199,6.0,7.0,,,9,11-14-2007
108,2008,23.0,11,93.5,20,15,181,1114,69,525,184.5,NewJersey,V,17,19,6,26,29,10,91,-650,9.5,Boston,160,9.5,181.0,,,-22,11-14-2007
109,2008,21.0,27,96,21,34,190.5,1114,103,110,194,Sacramento,V,21,24,1.5,26,37,2,108,-130,3,Minnesota,211,3.0,2.0,,,-5,11-14-2007
110,2008,18.0,23,101,30,28,206.5,1114,99,220,205,Memphis,V,22,25,2,31,24,6.5,102,-260,6,Milwaukee,201,6.0,6.5,,,-3,11-14-2007
111,2008,20.0,23,93,22,11,187.5,1114,76,370,187.5,Philadelphia,V,26,17,5.5,30,22,8.5,95,-450,8.5,NewOrleans,171,8.5,8.5,,,-19,11-14-2007
112,2008,20.0,18,105,23,32,212,1114,93,550,211.5,Portland,V,25,27,2.5,26,32,11,110,-700,10,Denver,203,211.5,212.0,,,-17,11-14-2007
113,2008,25.0,36,100.5,14,18,199.5,1114,93,240,199,LALakers,V,22,27,6,22,19,6.5,90,-290,7.5,Houston,183,7.5,6.5,,,3,11-14-2007
114,2008,17.0,27,99,9,28,200.5,1114,81,275,200,NewYork,V,18,23,5.5,22,21,7.5,84,-325,7,LAClippers,165,7.0,7.5,,,-3,11-14-2007
115,2008,25.0,26,3.5,31,29,1,1114,111,-120,3,Detroit,V,40,24,100.5,21,19,211,104,100,207,GoldenState,215,3.0,211.0,,,7,11-14-2007
116,2008,18.0,22,5,30,22,189.5,1115,92,105,186.5,SanAntonio,V,33,26,94,21,25,1.5,105,-125,3,Dallas,197,3.0,189.5,,,-13,11-15-2007
117,2008,22.0,24,102,29,27,204,1115,102,355,203,Chicago,V,26,30,1.5,19,37,8.5,112,-425,7.5,Phoenix,214,7.5,8.5,,,-10,11-15-2007
118,2008,21.0,24,93,28,15,184,1116,88,130,186,Portland,V,14,13,5,29,36,3,92,-150,3,Philadelphia,180,3.0,3.0,,,-4,11-16-2007
119,2008,30.0,26,98.5,18,27,195.5,1116,101,285,193.5,Indiana,V,22,31,5.5,28,29,7.5,110,-335,8.5,Toronto,211,8.5,7.5,,,-9,11-16-2007
120,2008,24.0,22,93,19,26,183,1116,91,525,184,Miami,V,24,28,4.5,24,16,10,92,-650,10.5,Boston,183,184.0,183.0,,,-1,11-16-2007
121,2008,25.0,20,94,24,26,3.5,1116,95,-170,3.5,Orlando,V,10,22,2,27,11,186,70,150,184,NewJersey,165,3.5,3.5,,,25,11-16-2007
122,2008,24.0,19,103,31,20,199.5,1116,94,105,2,Utah,V,19,20,1,29,31,1.5,99,-125,203,Cleveland,193,203.0,199.5,,,-5,11-16-2007
123,2008,26.0,32,100.5,26,23,204.5,1116,126,235,206,Seattle,V,23,22,5.5,37,25,6,123,-275,7.5,Atlanta,249,7.5,6.0,,,3,11-16-2007
124,2008,24.0,22,90,18,20,177.5,1116,84,400,181,Houston,V,25,24,5,20,21,9,90,-500,8.5,SanAntonio,174,8.5,9.0,,,-6,11-16-2007
125,2008,32.0,30,0,19,33,3,1116,120,-160,3.5,NewOrleans,V,20,38,99.5,26,30,204.5,118,140,202,Memphis,238,3.5,3.0,,,2,11-16-2007
126,2008,32.0,15,5,24,34,3.5,1116,105,-170,2.5,Washington,V,24,27,99.5,23,15,191.5,89,150,194.5,Minnesota,194,2.5,3.5,,,16,11-16-2007
127,2008,31.0,16,1,26,24,198.5,1116,115,150,199,NewYork,V,28,29,98.5,25,15,3.5,119,-170,3,Sacramento,234,3.0,3.5,,,-4,11-16-2007
128,2008,20.0,26,98,22,23,198.5,1116,91,155,201,Detroit,V,29,19,2,14,41,4,103,-175,3.5,LALakers,194,3.5,4.0,,,-12,11-16-2007
129,2008,26.0,29,0,32,18,219.5,1116,105,210,216,LAClippers,V,34,30,106,32,26,5.5,122,-250,3.5,GoldenState,227,3.5,5.5,,,-17,11-16-2007
130,2008,15.0,23,1,25,27,190,1117,90,175,195,Portland,V,22,25,97.5,30,32,4.5,109,-205,5.5,Washington,199,5.5,4.5,,,-19,11-17-2007
131,2008,22.0,27,99,21,14,199.5,1117,84,300,196.5,Seattle,V,22,25,6,30,23,8,100,-360,7.5,Charlotte,184,7.5,8.0,,,-16,11-17-2007
132,2008,17.0,29,6,26,25,5,1117,97,-230,6,Utah,V,31,34,107,30,22,204.5,117,190,203,Indiana,214,6.0,5.0,,,-20,11-17-2007
133,2008,18.0,27,88,18,28,3,1117,91,-155,180,Miami,V,23,12,1.5,26,26,174,87,135,2,NewJersey,178,2.0,3.0,,,4,11-17-2007
134,2008,25.0,17,2,32,26,4,1117,100,-190,5.5,NewOrleans,V,21,19,91,21,21,188,82,160,190,Minnesota,182,5.5,4.0,,,18,11-17-2007
135,2008,24.0,22,98.5,24,26,196.5,1117,96,285,198.5,Atlanta,V,23,34,1,19,29,7.5,105,-335,8,Milwaukee,201,8.0,7.5,,,-9,11-17-2007
136,2008,29.0,24,105,25,27,213,1117,105,950,210,Memphis,V,27,27,9,28,26,14,108,-1500,12.5,Dallas,213,210.0,213.0,,,-3,11-17-2007
137,2008,37.0,32,98,25,21,5.5,1117,115,-250,4.5,Phoenix,V,30,27,1.5,19,29,196,105,210,198,Houston,220,4.5,5.5,,,10,11-17-2007
138,2008,22.0,18,102.5,16,27,213.5,1117,83,850,216,NewYork,V,30,28,3,26,31,14,115,-1300,12.5,Denver,198,216.0,213.5,,,-32,11-17-2007
139,2008,29.0,22,92.5,19,22,3,1117,92,-160,1.5,Chicago,V,16,24,1.5,19,14,187,73,140,191,LAClippers,165,191.0,3.0,,,19,11-17-2007
140,2008,32.0,26,109,22,26,219.5,1118,106,220,217.5,GoldenState,V,29,32,3.5,27,12,6.5,100,-260,5,Toronto,206,5.0,6.5,,,6,11-18-2007
141,2008,17.0,24,5.5,35,26,1,1118,102,-120,189,Boston,V,28,30,94.5,25,21,187.5,104,100,0,Orlando,206,189.0,187.5,,,-2,11-18-2007
142,2008,31.0,27,1,14,23,4.5,1118,95,-205,5,Detroit,V,22,30,97,23,30,195.5,105,175,193,Sacramento,200,5.0,4.5,,,-10,11-18-2007
143,2008,21.0,25,100.5,14,18,198,1118,78,190,195.5,Chicago,V,16,29,4,30,31,5.5,106,-230,4.5,LALakers,184,4.5,5.5,,,-28,11-18-2007
144,2008,23.0,13,97.5,25,31,190.5,1119,92,190,187,Portland,V,24,16,2.5,23,38,5.5,101,-230,5,Charlotte,193,5.0,5.5,,,-9,11-19-2007
145,2008,24.0,29,2,24,31,218.5,1119,108,195,218,Seattle,V,38,30,105.5,34,23,5.5,125,-235,6,Memphis,233,6.0,5.5,,,-17,11-19-2007
146,2008,33.0,20,92.5,17,25,186,1119,95,100,188,Orlando,V,17,26,3,25,20,1,88,-120,0,NewOrleans,183,188.0,186.0,,,7,11-19-2007
147,2008,17.0,24,99,17,17,191,1119,75,550,190.5,NewJersey,V,30,21,3.5,32,19,11,102,-700,11,Utah,177,190.5,191.0,,,-27,11-19-2007
148,2008,24.0,20,3,24,33,183.5,1120,101,190,191,Philadelphia,V,26,34,93.5,38,18,5,116,-230,6,Washington,217,6.0,5.0,,,-15,11-20-2007
149,2008,21.0,28,97,35,27,193.5,1120,111,240,194.5,Milwaukee,V,31,22,3,27,27,6.5,107,-290,6.5,Cleveland,218,6.5,6.5,,,4,11-20-2007
150,2008,37.0,34,102.5,33,30,1.5,1120,134,-125,2,LALakers,V,35,28,1.5,27,24,207.5,114,105,207,Indiana,248,207.0,207.5,,,20,11-20-2007
151,2008,29.0,32,94.5,22,12,6,1120,95,-250,5.5,SanAntonio,V,20,24,2,21,18,190,83,210,190.5,Atlanta,178,5.5,6.0,,,12,11-20-2007
152,2008,31.0,29,104.5,17,31,1,1120,108,-120,219,GoldenState,V,24,23,3,15,20,220,82,100,0,NewYork,190,219.0,220.0,,,26,11-20-2007
153,2008,31.0,24,97.5,17,27,197,1120,99,355,196.5,Toronto,V,19,22,9,38,26,8.5,105,-425,9.5,Dallas,204,9.5,8.5,,,-6,11-20-2007
154,2008,25.0,28,2,16,22,201.5,1120,91,370,203.5,Chicago,V,36,36,101,22,18,8.5,112,-450,6,Denver,203,6.0,8.5,,,-21,11-20-2007
155,2008,27.0,28,2,31,14,7.5,1120,100,-330,6.5,Phoenix,V,26,21,106,27,24,218,98,280,212,Sacramento,198,6.5,7.5,,,2,11-20-2007
156,2008,26.0,18,99.5,35,25,192.5,1121,114,250,192,Washington,V,20,26,4,32,26,7,111,-300,4.5,Charlotte,225,4.5,7.0,,,3,11-21-2007
